REGION	UNIT	DATE	INCIDENT NUMBER	ACRES	FIRE NAME	CAUSE	LAT	LONG
Three	San Luis Obispo	3/26/2010	2273	0.1	ROCKY CANYON RD / HWY 41E	Undetermined	35.5039	-120.6519
Three	San Luis Obispo	3/26/2010	2257	0.1	PEARLIE LN  NIP	Undetermined	35.025	-120.48
Three	San Luis Obispo	4/17/2010	2853	0.1	EL CAMPO	Campfire	35.1111	-120.5639
Three	San Luis Obispo	4/25/2010	3018	0.1	RIDGE RD / SANTA RITA RD	Undetermined	35.5361	-120.7281
Three	San Luis Obispo	4/26/2010	3049	0.1	CHAROLAIS RD  SLO_CO	Undetermined	35.6031	-120.6689
Three	San Luis Obispo	5/1/2010	3169	0.1	FOX	Railroad	35.325	-120.7289
Three	San Luis Obispo	5/12/2010	3454	0.1	EUCALYPTUS RD  SLO_CO	Undetermined	35.0211	-120.5319
Three	San Luis Obispo	5/24/2010	3750	0.2	LA PANZA	Undetermined	35.4689	-120.3789
Three	San Luis Obispo	5/25/2010	3771	1	HILL	Campfire	35.3761	-120.4081
Three	San Luis Obispo	5/25/2010	3763	1	TRUE	Campfire	35.5981	-120.3381
Three	San Luis Obispo	5/27/2010	3824	0.1	HILL ST / BLUME ST	Undetermined	35.0319	-120.4869
Three	San Luis Obispo	5/27/2010	3827	3	BELMONT TRL / SODA LAKE R	Undetermined	35.3081	-119.9869
Three	San Luis Obispo	5/28/2010	3855	0.1	N RIVER RD  PR	Campfire	35.6511	-120.685
Three	San Luis Obispo	6/5/2010	4144	5	LUPINE LN  SLO_CO	Undetermined	35.535	-120.6631
Three	San Luis Obispo	6/6/2010	4183	0.1	S HWY 101  / FIVE CITIES	Undetermined	35.1381	-120.6311
Three	San Luis Obispo	6/8/2010	4233	0.1	SOFTCHESS PL  SLO_CO	Undetermined	35.1831	-120.54
Three	San Luis Obispo	6/9/2010	4248	5	RANCH	Campfire	35.5681	-120.6389
Three	San Luis Obispo	6/11/2010	4309	5	ORCUTT	Campfire	35.1969	-120.5661
Three	San Luis Obispo	6/12/2010	4343	9	ESTRELLA	Undetermined	35.7181	-120.6411
Three	San Luis Obispo	6/12/2010	433	0.1		Undetermined	35.5611	-120.6711
Three	San Luis Obispo	6/12/2010	4338	5	POMAR	Campfire	35.5631	-120.665
Three	San Luis Obispo	6/13/2010	4377	0.3	CUESTA	Undetermined	35.3489	-120.6311
Three	San Luis Obispo	6/17/2010	4480	1	BLUE	Undetermined	35.4411	-120.4881
Three	San Luis Obispo	6/20/2010	4590	1	LAKE	Campfire	35.6839	-120.7589
Three	San Luis Obispo	6/22/2010	4635	1	CRESTON	Undetermined	35.5561	-120.535
Three	San Luis Obispo	6/24/2010	4696	1	FEENSTRA	Campfire	35.5661	-120.5561
Three	San Luis Obispo	6/24/2010	68	0.1		Undetermined	35.135	-120.5731
Three	San Luis Obispo	6/25/2010	4729	0.9	MARGARITA	Undetermined	35.3989	-120.6131
Three	San Luis Obispo	6/26/2010	4751	250	CREEK	Undetermined	35.3311	-120.7331
Three	San Luis Obispo	6/27/2010	4781	1	THE Y SLO_CO	Undetermined	35.7339	-120.2861
Three	San Luis Obispo	6/28/2010	4816	5	CHIA	Undetermined	35.445	-120.6081
Three	San Luis Obispo	6/28/2010	140	0.1		Campfire	35.7089	-120.695
Three	San Luis Obispo	6/29/2010	4843	1	ESTRELLA RD / JARDINE RD	Undetermined	35.7019	-120.6031
Three	San Luis Obispo	6/30/2010	4867	1	ARCIERO	Campfire	35.6561	-120.4061
Three	San Luis Obispo	7/1/2010	4903	1	VIA	Undetermined	35.045	-120.55
Three	San Luis Obispo	7/3/2010	4960	0.1	PIRATES COVE SLO_CO	Undetermined	35.1739	-120.7181
Three	San Luis Obispo	7/3/2010	4985	1	MONTEREY RD / WELLSONA RD	Undetermined	35.6961	-120.6939
Three	San Luis Obispo	7/3/2010	4972	0.3	UNION RD / PENMAN SPRINGS	Arson	35.63	-120.6139
Three	San Luis Obispo	7/4/2010	5053	0.1	PISMO LIFEGUARD TOWER 1 2	Undetermined	35.1361	-120.6411
Three	San Luis Obispo	7/4/2010	5064	0.1	ADDIE ST / DOLLIVER ST	Undetermined	35.1381	-120.6381
Three	San Luis Obispo	7/4/2010	5072	0.1	PISMO PIER PB 8	Undetermined	35.1389	-120.6439
Three	San Luis Obispo	7/4/2010	5055	0.1	PISMO LIFEGUARD TOWER 4 P	Undetermined	35.1419	-120.645
Three	San Luis Obispo	7/4/2010	5007	31	BEAR	Arson	35.2931	-119.9289
Three	San Luis Obispo	7/4/2010	5034	0.1	N HWY 1  / TORO CREEK RD	Undetermined	35.415	-120.8739
Three	San Luis Obispo	7/6/2010	5118	0.1	JARDINE RD / ESTRELLA RD	Campfire	35.7019	-120.6031
Three	San Luis Obispo	7/8/2010	5171	0.1	HONEY GROVE LN  NIP	Undetermined	35.02	-120.4789
Three	San Luis Obispo	7/11/2010	5252	0.1	POMEROY RD  NIP	Undetermined	35.0389	-120.5089
Three	San Luis Obispo	7/11/2010	5264	0.1	NACIMIENTO LAKE DR  SLO_C	Campfire	35.7631	-120.8861
Three	San Luis Obispo	7/15/2010	5381	0.1	N RIVER RD  SLO_CO	Undetermined	35.6689	-120.69
Three	San Luis Obispo	7/16/2010	5421	10	DAIRY CREEK GOLF COURSE S	Undetermined	35.3311	-120.7331
Three	San Luis Obispo	7/17/2010	5459	17	MARCOS	Undetermined	35.7219	-120.6981
Three	San Luis Obispo	7/17/2010	5460	4	CRESTON	Undetermined	35.56	-120.5381
Three	San Luis Obispo	7/18/2010	484	0.1		Undetermined	35.0019	-120.3611
Three	San Luis Obispo	7/18/2010	5489	1	TWITCHELL	Campfire	35.0219	-120.3119
Three	San Luis Obispo	7/24/2010	5683	0.1	PICO	Undetermined	35.6261	-121.1581
Three	San Luis Obispo	7/30/2010	5849	0.1	N HWY 101  /W TEFFT ST  2	Undetermined	35.0389	-120.4869
Three	San Luis Obispo	7/30/2010	5846	0.5	N HWY 101  /W TEFFT ST N	Undetermined	35.0389	-120.4869
Three	San Luis Obispo	8/1/2010	5907	1	HWY 46W AT THE SUMMIT SLO	Undetermined	35.5369	-120.8239
Three	San Luis Obispo	8/3/2010	176	0.1		Undetermined	35.6119	-120.6361
Three	San Luis Obispo	8/3/2010	5964	7	LINNE	Undetermined	35.6081	-120.6089
Three	San Luis Obispo	8/4/2010	177	0.1		Undetermined	35.685	-120.73
